i10-index,location_city,# of Pubs,location_state,location_latitude,H-index (m),H-index (recent),location_longitude,G-index (recent),H-index,location_zip,location_street,i10-index (recent),# of Pubs (recent),Cited by (recent),Organization,G-index,Cited by
2,Brooklyn,7,NY,40.631912,0.333,3,-73.953120,6,4,11210,2900 Bedford Ave,1,6,32,CUNY Brooklyn College,7,131
0,Lubbock,3,TX,33.580309,0.333,1,-101.876917,3,1,79409-5005,Broadway and University Avenue,0,3,6,Texas Tech University,3,6
0,,2,,,0,0,,0,0,,,0,2,0,University of Wuppertal,0,0
0,New York,1,NY,40.850800,0,0,-73.928541,0,0,10033-3299,500 W 185th St,0,1,0,Yeshiva University,0,0
0,Baton Rouge,1,LA,30.524558,0,0,-91.190105,0,0,70813,"3rd Floor, J.S. Clark Adm. Building, P.O. Box 9374",0,1,0,Southern University and A&M College,0,0
0,Eau Claire,2,WI,44.798431,0.667,2,-91.500432,2,2,54702-4004,105 Garfield Avenue,0,2,12,University of Wisconsin-Eau Claire,2,12
0,Merced,8,CA,37.366237,0.8,4,-120.424944,6,4,95343-5603,5200 North Lake Road,0,8,31,"University of California, Merced",6,31
1,,1,,,1,1,,1,1,,,1,1,13,Kwangwoon University,1,13
0,,1,,,1,1,,1,1,,,0,1,1,Kasetsart University,1,1
0,Socorro,2,NM,34.066035,0.25,1,-106.907491,2,1,87801,801 Leroy Place,0,2,5,New Mexico Institute of Mining and Technology,2,5
0,Mont Alto,1,PA,39.841914,0,0,-77.544068,0,0,17237-9700,1 Campus Drive,0,1,0,"Pennsylvania State University, Mont Alto",0,0
3,Columbus,20,OH,39.998389,0.444,2,-83.009001,5,4,43210,190 N. Oval Mall,1,18,22,Ohio State University,14,182
40,La Jolla,104,CA,32.876598,2,18,-117.237793,33,24,92093,9500 Gilman Dr,25,83,1126,"University of California, San Diego",44,2006
0,Boise,1,ID,43.604403,1,1,-116.205789,1,1,83725,1910 University Dr,0,1,6,Boise State University,1,6
0,,1,,,1,1,,1,1,,,0,1,6,University of Granada,1,6
1,,1,,,1,0,,0,1,,,0,0,0,American Physical Society,1,416
0,Baltimore,1,MD,39.328380,0,0,-76.620799,0,0,21218-2688,3400 N Charles St,0,1,0,Johns Hopkins University School of Medicine,0,0
2,,2,,,2,2,,2,2,,,2,2,30,Institute for Research in Computer Science and Automation,2,30
4,,9,,,0.5,4,,7,6,,,2,7,66,American Museum of Natural History,9,139
2,Akron,5,OH,41.077768,1.333,4,-81.510328,5,4,44325-4702,302 Buchtel Common,2,5,54,University of Akron,5,54
1,Washington,5,DC,38.908809,1.5,3,-77.073463,5,3,20057-0001,37th and O St NW,1,5,23,Georgetown University,5,23
0,Missoula,1,MT,46.861074,1,1,-113.982940,1,1,59812,"Missoula, Montana",0,1,1,University of Montana,1,1
0,,1,,,0,0,,0,0,,,0,1,0,RIKEN,0,0
2,,2,,,1,2,,2,2,,,2,2,88,University of the Balearic Islands,2,88
0,,1,,,0,0,,0,0,,,0,1,0,Indian Institute of Science,0,0
18,University Park,52,PA,40.800732,1.625,12,-77.861644,18,13,16802-1503,201 Old Main,15,49,369,Pennsylvania State University,22,512
2,Los Angeles,3,CA,34.066927,0.182,1,-118.168965,2,2,90032,5151 State University Dr,1,2,12,California State University-Los Angeles,3,106
2,,10,,,0.5,4,,6,4,,,1,8,30,Scripps Institution of Oceanography,9,68
0,Atlanta,7,GA,33.752700,0.25,1,-84.386670,3,1,30303-3083,33 gilmer st,0,7,6,Georgia State University,3,6
