i10-index,location_city,i10-index (recent),location_state,location_latitude,H-index (m),num_pubs,lon,location_longitude,G-index (recent),H-index,location_zip,location_street,# of Pubs (recent),Cited by (recent),lat,Organization,G-index,Cited by,H-index (recent)
1,,1,,,1,1,,,1,1,,,1,13,,"Institute for Research in Biomedicine, Barcelona",1,13,1
1,Dearborn,0,MI,42.317287,0.231,7,,-83.231417,4,3,48128-1491,4901 Evergreen Rd,6,10,,"University of Michigan, Dearborn",7,255,2
0,,0,,,0,1,,,0,0,,,1,0,,High Energy Accelerator Research Organization,0,0,0
0,,0,,,1,2,,,2,1,,,2,4,,US Army,2,4,1
0,,0,,,1,1,,,1,1,,,1,8,,University of Leoben,1,8,1
0,Conway,0,SC,33.794722,0,2,,-79.012635,0,0,29526,103 Tom Trout Drive,2,0,,Coastal Carolina University,0,0,0
0,Loudonville,0,NY,42.718586,1,1,,-73.751530,1,1,12211-1462,515 Loudon Rd,1,6,,Siena College,1,6,1
5,,1,,,0.625,7,,,3,5,,,3,42,,Los Alamos National Laboratory,7,539,1
0,Beaumont,0,TX,30.044274,0.667,4,,-94.073389,3,2,77705,4400 MLK Blvd,4,8,,Lamar University,3,8,2
0,,0,,,1,1,,,1,1,,,1,3,,Memorial Sloan Kettering Cancer Center,1,3,1
0,,0,,,1,1,,,1,1,,,1,1,,University of Exeter,1,1,1
4,Los Angeles,1,CA,34.021058,0.625,19,,-118.283858,6,5,90089,University Park,14,34,,University of Southern California,12,125,2
1,Dallas,1,TX,32.819539,1,2,,-96.842311,1,2,75390-9096,5323 Harry Hines Blvd,1,12,,University of Texas Southwestern Medical Center,2,15,1
1,,1,,,1.5,3,,,3,3,,,3,23,,Cambridge University,3,23,3
0,,0,,,1,2,,,2,1,,,2,5,,The George Washington University,2,5,1
1,,0,,,1,1,,,0,1,,,0,0,,National Optical Astronomy Observatory,1,10,0
1,,0,,,1,1,,,0,1,,,0,0,,Computation Institute,1,163,0
0,Carbondale,0,IL,37.713239,0.333,4,,-89.218724,3,1,62901-4512,Lincoln Drive,4,6,,"Southern Illinois University, Carbondale",3,6,1
4,,3,,,0.778,19,,,13,7,,,16,147,,Texas A&M University,19,571,6
2,Morgantown,1,WV,39.634680,0.333,4,,-79.953926,3,2,26506-6201,"Stewart Hall, 1500 University Avenue",3,15,,West Virginia University,4,25,1
2,Iowa City,1,IA,41.660695,0.375,6,,-91.535698,5,3,52242-1316,101 Jessup Hall,5,31,,University of Iowa,6,42,2
0,Norfolk,0,VA,36.884919,0.25,5,,-76.309653,1,1,23529,5115 Hampton Blvd,5,1,,Old Dominion University,1,1,1
4,San Diego,1,CA,32.775250,0.308,6,,-117.071228,3,4,92182,5500 Campanile Dr,3,16,,San Diego State University,6,94,2
0,,0,,,1,1,,,1,1,,,1,8,,Indiana University at Bloomington,1,8,1
4,,1,,,0.5,12,,,5,4,,,7,23,,Texas Advanced Computing Center,12,336,2
15,Salt Lake City,7,UT,40.762484,1.625,36,,-111.846044,23,13,84112-9008,"201 Presidents Circle, ROOM 201",27,487,,University of Utah,36,1276,8
0,,0,,,1,1,,,1,1,,,1,3,,"SC Solutions, Inc.",1,3,1
0,,0,,,0.333,2,,,1,1,,,2,1,,Sri Sathya Sai Institute of Higher Learning,1,1,1
0,,0,,,1,1,,,0,1,,,0,0,,Corning Incorporated,1,3,0
0,,0,,,1,2,,,2,1,,,2,4,,Central University of the Caribbean,2,4,1
0,Danville,0,KY,37.645102,0.5,2,,-84.779175,2,1,40422-1394,625 W Walnut St,2,2,,Centre College,2,2,1
3,,1,,,0.5,7,,,3,4,,,3,152,,Pittsburgh Supercomputing Center,7,348,1
9,Pittsburgh,4,PA,40.444616,1,46,,-79.942914,13,9,15213-3890,5000 Forbes Avenue,39,167,,Carnegie Mellon University,24,559,6
0,Montgomery,0,AL,32.364317,1,1,,-86.295677,1,1,36104-0271,915 S Jackson Street,1,2,,Alabama State University,1,2,1
1,Newark,1,NJ,40.741997,0.25,4,,-74.177113,4,1,07102,University Heights,4,26,,New Jersey Institute of Technology,4,26,1
1,University,1,MS,34.362144,0.75,7,,-89.539377,7,3,38677-1848,"Oxford, Mississippi",7,95,,University of Mississippi,7,95,3
0,,0,,,0.5,4,,,2,1,,,4,2,,The Methodist Hospital System,2,2,1
13,,6,,,0.625,61,,,19,10,,,44,340,,University of Texas at Austin,28,754,6
17,College Park,12,MD,38.985379,0.929,36,,-76.939494,20,13,20742, ,29,382,,"University of Maryland, College Park",28,785,11
2,Troy,2,NY,42.728983,4,6,,-73.678768,6,4,12180-3590,110 8th St,6,175,,Rensselaer Polytechnic Institute,6,175,4
0,Milwaukee,0,WI,43.076848,0.429,5,,-87.880488,4,3,53201-0413,2200 E Kenwood Blvd,4,20,,University of Wisconsin-Milwaukee,5,27,3
1,,0,,,1,1,,,0,1,,,0,0,,Allegheny-Singer Research Institute,1,10,0
4,,3,,,0.667,4,,,3,4,,,3,101,,National Science Foundation,4,264,3
0,,0,,,1,1,,,1,1,,,1,3,,Kyoto University,1,3,1
